district,municipality,tof_area_ha,forest_area_ha,total_tree_cover_ha,tof_percent,forest_percent
Nuwakot,Suryagadhi,963.1823077,2686.077692,3649.26,26.39390747,73.60609253
Nuwakot,Tadi,1286.532308,3467.787692,4754.32,27.06028008,72.93971992
Nuwakot,Tarkeshwar,1482.542308,3838.847692,5321.39,27.86005739,72.13994261
Ramechhap,Doramba,2249.06625,8324.54375,10573.61,21.2705618,78.7294382
Ramechhap,Gokulganga,3212.15625,11674.57375,14886.73,21.57731248,78.42268752
Ramechhap,Khadadevi,3897.42625,6321.45375,10218.88,38.13946587,61.86053413
Ramechhap,Likhu Tamakoshi,3072.83625,6289.85375,9362.69,32.82001487,67.17998513
Ramechhap,Manthali,5497.36625,9403.98375,14901.35,36.89173296,63.10826704
Ramechhap,Ramechhap,4229.07625,10634.92375,14864,28.4518047,71.5481953
Ramechhap,Sunapati,2319.72625,3266.47375,5586.2,41.526015,58.473985
Ramechhap,Umakunda,6262.68625,17187.27375,23449.96,26.70659673,73.29340327
Rasuwa,Gosaikunda,5004.004,22913.656,27917.66,17.92415267,82.07584733
Rasuwa,Kalika,498.744,3031.416,3530.16,14.12808485,85.87191515
Rasuwa,Naukunda,1381.314,6480.556,7861.87,17.56978938,82.43021062
Rasuwa,Aamachodingmo,2758.494,8702.576,11461.07,24.06838105,75.93161895
Rasuwa,Uttargaya,1476.174,8050.466,9526.64,15.49522182,84.50477818
Rasuwa,Total,11118.73,49178.67,60297.4,18.43981664,81.56018336
Sindhuli,Dudhouli,3059.34,24132.18,27191.52,11.25108122,88.74891878
Sindhuli,Ghanglekh,1327.44,13629.53,14956.97,8.875059588,91.12494041
Sindhuli,Golanjor,2375.91,13168.89,15544.8,15.28427513,84.71572487
Sindhuli,Hariharpurgadhi,1849.18,27147.76,28996.94,6.377155658,93.62284434
Sindhuli,Kamalamai,2859.59,37422.92,40282.51,7.098837684,92.90116232
Sindhuli,Marin,1582.37,22266.18,23848.55,6.635078443,93.36492156
Sindhuli,Phikkal,2947.66,11086.56,14034.22,21.00337603,78.99662397
Sindhuli,Sunkoshi,2406.74,9591.78,11998.52,20.05864057,79.94135943
Sindhuli,Tinpatan,3718.35,18514.96,22233.31,16.72423045,83.27576955
Sindhupalchok,Balefi,945.2633333,3953.265,4898.528333,19.29688406,80.70311594
Sindhupalchok,Barhabise,1812.823333,8844.825,10657.64833,17.00959984,82.99040016
Sindhupalchok,Bhotekoshi,3147.153333,16742.425,19889.57833,15.82312747,84.17687253
Sindhupalchok,Chautara SangachokGadhi,2762.683333,10546.595,13309.27833,20.75757426,79.24242574
Sindhupalchok,Helambu,2542.093333,14568.345,17110.43833,14.85697376,85.14302624
Sindhupalchok,Indrawati,1705.503333,6592.725,8298.228333,20.55261997,79.44738003
Sindhupalchok,Jugal,6204.323333,21546.895,27751.21833,22.35694036,77.64305964
Sindhupalchok,Lisangkhu Pakhar,1184.123333,6918.185,8102.308333,14.61464171,85.38535829
Sindhupalchok,Melamchi,3650.633333,7944.035,11594.66833,31.48544856,68.51455144
Sindhupalchok,Panchpokhari Thangpal,4022.293333,21638.795,25661.08833,15.67467943,84.32532057
Sindhupalchok,Sunkoshi,968.3833333,5010.925,5979.308333,16.19557446,83.80442554
Sindhupalchok,Tripurasundari,1135.803333,6526.525,7662.328333,14.82321409,85.17678591
